Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C90013		Yes	ECG Lead	EGLEAD	ECG Lead	Terminology related to electrocardiogram lead names.	CDISC SDTM Electrocardiogram Lead Terminology
C90403	C90013		ECG Lead	LEAD aV6		An augmented unipolar lead placed at the sixth intercostal space on the midaxillary line. (NCI)	Lead Site aV6
C90360	C90013		ECG Lead	LEAD aVF		An augmented unipolar electrocardiogram limb lead in which the positive (red) electrode is situated on the left pelvic limb and the negative electrode is a combination of the right thoracic limb (white) electrode and the left thoracic limb (black) electrode. Measures the electrical activity of the electrode on the left pelvic limb.	Augmented Vector Foot
C90361	C90013		ECG Lead	LEAD aVL		An augmented unipolar electrocardiogram limb lead in which the positive (black) electrode is situated on the left thoracic limb and the negative electrode is a combination of the right thoracic limb (white) electrode and the left pelvic limb (red) electrode. Measures the electrical activity of the electrode on the left thoracic limb. (NCI)	Augmented Vector Left
C90362	C90013		ECG Lead	LEAD aVR		An augmented unipolar electrocardiogram limb lead in which the positive (white) electrode is situated on the right thoracic limb and the negative electrode is a combination of the left thoracic limb (black) electrode and the left pelvic limb (red) electrode. Measures the electrical activity of the electrode on the right thoracic limb. (NCI)	Augmented Vector Right
C90404	C90013		ECG Lead	LEAD CM5		A bipolar EKG lead with the right thoracic limb electrode placed on the manubrium and left thoracic limb electrode placed at the surface marking of the V5 position (just above the 5th interspace in the anterior axillary line). The left pelvic limb lead acts as a neutral and may be placed anywhere. The C refers to 'clavicle' where it is often placed. (NCI)	Lead Site CM5
C90405	C90013		ECG Lead	LEAD CV5RL		A unipolar chest lead used mostly in large animals. Placed on the sixth ICS on the right side of the thorax along a line parallel to the level of the point of the humeralradial joint.	Lead Site CV5RL
C90406	C90013		ECG Lead	LEAD CV6LL		V1 electrode (+) placed in the 6th intercostal space on the left side of the thorax along a line parallel to the level of the point of the humeralradial joint.	Lead Site CV6LL
C90407	C90013		ECG Lead	LEAD CV6LU		V2 electrode (+) placed in the 6th intercostal space on the left side of the thorax along a line parallel to the level of the point of the shoulder. (NCI)	Lead Site CV6LU
C90408	C90013		ECG Lead	LEAD I		A bipolar electrocardiogram limb lead which records the voltage between the negative electrode on the right thoracic limb and the positive electrode on the left thoracic limb. (NCI)	Lead Site I
C90409	C90013		ECG Lead	LEAD II		A bipolar electrocardiogram limb lead which records the voltage between the negative electrode on the right thoracic limb and the positive electrode on the left pelvic limb. (NCI)	Lead Site II
C90410	C90013		ECG Lead	LEAD III		A bipolar electrocardiogram limb lead which records the voltage between the negative electrode on the left thoracic limb and the positive electrode on the left pelvic limb. (NCI)	Lead Site III
C90411	C90013		ECG Lead	LEAD rV2		A unipolar precordial lead placed at the second intercostal space to the left of the sternum. (NCI)	Lead Site rV2
C90412	C90013		ECG Lead	LEAD V1		A unipolar electrocardiogram lead site; the electrode is placed at the fourth intercostal space on the anterior chest wall (between ribs 4 and 5) to the right of the sternal border. In small animals, it is placed at the right fifth intercostal space near the sternum. (NCI)	Lead Site V1
C90413	C90013		ECG Lead	LEAD V10		A unipolar chest lead at which the electrode is placed over the dorsal spinous process of 7th thoracic vertebra. (NCI)	Lead Site V10
C90414	C90013		ECG Lead	LEAD V2		A unipolar electrocardiogram lead site; the electrode is placed on the anterior chest wall at the fourth intercostal space (between ribs 4 and 5) to the left of the sternal border. In small animals it corresponds to V2-V3 where it is placed at the 6th left intercostal space near the sternum. In large animals it is placed over the 6th rib at the level of the costochondral junction on the left side of the thorax.	Lead Site V2
